contig	plasforest_pls	plasforest_chr	plasgraph2_pls	plasgraph2_chr	platon_pls	platon_chr	rfplasmid_pls	rfplasmid_chr	mlplasmid_pls	mlplasmid_chr	length	read_depth	gc_content	matepair	mobility	origintransfer	replicon	moblabel_chr	moblabel_pls	pfamscore_chr	pfamscore_pls	pfamlabel_chr	pfamlabel_pls	chromosome	plasmid
EC_0012_3S1_D_14	0	1	0.007237818	0.9960891	0	1	0.0	1.0	0.0451432586749381	0.954856741325062	129332	1.002130154684017	0.5077629666285219	0.0	0.0	0.0	0.0	1	0	3.277688300669348	-268.44094636557776	1	0	1	0
EC_0012_3S1_D_15	0	1	0.0069301333	0.9962834	0	1	0.0	1.0	0.0341946858074352	0.965805314192565	111397	1.0334724673605336	0.5191791520417964	0.0	0.0	0.0	0.0	1	0	3.0201929496606565	-273.1505170309134	1	0	1	0
EC_0012_3S1_D_16	0	1	0.011738368	0.9932751	0	1	0.0	1.0	0.0319362654997988	0.968063734500201	105371	0.9640459349877808	0.4992170521300927	0.0	0.0	0.0	0.0	1	0	2.48695849147275	-217.8974486006489	1	0	1	0
EC_0012_3S1_D_17	0	1	0.012236058	0.9931929	0	1	0.0	1.0	0.0163654406382604	0.98363455936174	97784	1.0159233625354591	0.516188742534566	0.0	0.0	0.0	0.0	0	0	1.434690302056608	-222.19727281440495	1	0	1	0
EC_0012_3S1_D_18	0	1	0.009719873	0.9942022	0	1	0.0	1.0	0.0367468704391962	0.963253129560804	87476	1.0237028993076407	0.5191366774886826	0.0	0.0	0.0	0.0	0	0	0.3270449995077928	-144.43348082816158	0	0	1	0
EC_0012_3S1_D_19	0	1	0.0077374587	0.995605	0	1	0.003	0.997	0.0498116536639723	0.950188346336028	81750	0.9796037031777122	0.4981651376146789	0.0	0.0	0.0	0.0	0	0	1.6547490246962209	-166.37166813244585	1	0	1	0
EC_0012_3S1_D_20	0	1	0.011507811	0.99320567	0	1	0.0	1.0	0.0338574235909859	0.966142576409014	69943	0.985645940188631	0.508113749767668	0.0	0.0	0.0	0.0	0	0	1.4655222267673151	-135.37057968263017	1	0	1	0
EC_0012_3S1_D_21	0	1	0.020893538	0.98833245	0	1	0.0	1.0	0.0380674818448495	0.96193251815515	69530	1.026187322368575	0.5164677117790881	0.0	0.0	0.0	0.0	0	0	1.5521661154699231	-165.83459588111776	1	0	1	0
EC_0012_3S1_D_22	0	1	0.033320207	0.98084116	0	1	0.001	0.999	0.0248661262240156	0.975133873775984	66061	0.993895242641254	0.5069556924660541	0.0	0.0	0.0	0.0	0	0	1.3850819949993802	-112.79719374400368	1	0	1	0
EC_0012_3S1_D_23	0	1	0.052253067	0.9675816	0	1	0.0	1.0	0.0059914433254949	0.994008556674505	61703	0.8808873540054935	0.4691506085603617	0.0	0.0	0.0	0.0	0	0	-0.4089168892207944	-73.50679333713748	0	0	1	0
EC_0012_3S1_D_24	0	1	0.018990105	0.9885689	0	1	0.0	1.0	0.0205311695187874	0.979468830481213	60468	0.9801883772489758	0.5034563736191043	0.0	0.0	0.0	0.0	0	0	0.5863719769131555	-110.47656286406956	1	0	1	0
EC_0012_3S1_D_25	0	1	0.013856365	0.9916662	0	1	0.001	0.999	0.0352019805020307	0.964798019497969	57541	0.9736011671352588	0.5025981474079352	0.0	0.0	0.0	0.0	0	0	0.4898215716827039	-119.95448430392209	0	0	1	0
EC_0012_3S1_D_26	1	0	0.5183846	0.6473916	1	0	0.999	0.001	0.888276406946049	0.111723593053951	52232	0.6031704317070866	0.5269183642211671	1.0	1.0	0.91	1.0	0	1	-54.01267713845723	161.9221175092282	0	1	0	1
EC_0012_3S1_D_27	0	1	0.015322599	0.9910028	0	1	0.001	0.999	0.0128517221741774	0.987148277825823	50277	1.0318575289090526	0.5277363406726734	0.0	0.0	0.0	0.0	0	0	-0.763640015841518	-55.32018063412234	0	0	1	0
EC_0012_3S1_D_28	0	1	0.031702746	0.98068047	0	1	0.029	0.971	0.0394541538776837	0.960545846122316	43587	0.9369698993312336	0.4937481359120839	0.0	0.0	0.0	0.0	0	0	-2.7994058305537184	-27.352901793517876	0	0	1	0
EC_0012_3S1_D_29	0	1	0.017456168	0.9899231	0	1	0.0	1.0	0.0134698119027878	0.986530188097212	43229	1.0049218941969846	0.5125263133544611	0.0	0.0	0.0	0.0	0	0	1.036837049506799	-94.07894603919256	1	0	1	0
EC_0012_3S1_D_30	0	1	0.018708173	0.9889674	0	1	0.0	1.0	0.0097477018041621	0.990252298195838	42101	0.9592143548770644	0.4960214721740576	0.0	0.0	0.0	0.0	0	0	0.4374396923069641	-64.3187306799957	0	0	1	0
EC_0012_3S1_D_31	0	1	0.039112076	0.9774883	0	1	0.0	1.0	0.0475860599616345	0.952413940038366	42068	1.0293963837675015	0.5226062565370353	0.0	0.0	0.0	0.0	0	0	-0.1240218399672716	-47.358440704480685	0	0	1	0
EC_0012_3S1_D_32	0	1	0.026902996	0.9848691	0	1	0.013	0.987	0.0388734588227017	0.961126541177298	41308	0.9835377451440444	0.4947225718989058	0.0	0.0	0.0	0.0	0	0	1.7151685442405382	-158.1219675109088	1	0	1	0
EC_0012_3S1_D_33	0	1	0.14094172	0.90817475	0	1	0.242	0.758	0.0174525461434029	0.982547453856597	36208	0.790702655408739	0.4222271321254971	0.0	0.0	0.0	0.0	0	0	-0.0187689664148509	-2.5610153350811355	0	0	1	0
EC_0012_3S1_D_34	0	1	0.053770054	0.9663961	0	1	0.323	0.677	0.103247318022748	0.896752681977252	32094	0.8708788239474046	0.4585592322552502	0.0	0.0	0.0	0.0	0	0	-2.1126669235411217	-9.379283797963238	0	0	1	0
EC_0012_3S1_D_35	0	1	0.023563227	0.98702466	0	1	0.001	0.999	0.0591859054169731	0.940814094583027	30171	1.077762551309179	0.5364091345994498	0.0	0.0	0.0	0.0	0	0	1.0335346810486223	-79.68133207814921	1	0	1	0
EC_0012_3S1_D_36	0	1	0.10019062	0.9363208	0	1	0.277	0.723	0.0356476479081193	0.964352352091881	27834	0.9418521626510072	0.5027664008047712	0.0	0.0	0.0	0.0	0	0	-0.1834031938703839	-14.704504916205222	0	0	1	0
EC_0012_3S1_D_37	0	1	0.022657026	0.98713624	0	1	0.511	0.489	0.209327718741747	0.790672281258253	26784	0.9875885432752988	0.5068697729988052	0.0	0.0	0.0	0.0	0	0	-0.2593553000359279	-13.065280100172394	0	0	1	0
EC_0012_3S1_D_38	0	1	0.25244465	0.8337039	0	1	0.08	0.92	0.0604698156897121	0.939530184310288	26703	0.90175344830345	0.472680972175411	0.0	0.0	0.0	0.0	0	0	-1.459050958849386	-64.79634939190555	0	0	1	0
EC_0012_3S1_D_39	0	1	0.024012161	0.9857849	0	1	0.283	0.717	0.032026038618741	0.967973961381259	26221	0.9989678621171368	0.51054498302887	0.0	0.0	0.0	0.0	0	0	-6.908692144284552	32.990326038042085	0	1	1	0
EC_0012_3S1_D_40	0	1	0.087797545	0.9445921	0	1	0.324	0.676	0.317836923101097	0.682163076898903	25955	0.8927270637183511	0.4766711616258909	0.0	0.0	0.0	0.0	0	0	-4.391162095214016	-2.1014352281796764	0	0	1	0
EC_0012_3S1_D_41	0	1	0.048513398	0.9708097	0	1	0.007	0.993	0.0209444269616108	0.979055573038389	22561	0.9646035633698814	0.5007756748371083	0.0	0.0	0.0	0.0	0	0	0.6684894813130979	-58.35794282161959	1	0	1	0
EC_0012_3S1_D_42	0	1	0.23773378	0.8483339	0	1	0.364	0.636	0.0735052586513407	0.926494741348659	19533	0.9300162132697856	0.4819024215430297	0.0	0.0	0.0	0.0	0	0	-0.3313098675982173	-2.9159794338667018	0	0	1	0
EC_0012_3S1_D_43	0	1	0.79934597	0.32020485	0	1	0.305	0.695	0.120887452795653	0.879112547204347	18879	0.7667857942203226	0.4146406059642989	0.0	0.0	0.0	0.0	0	0	-0.2819985946807852	-4.609827811751213	0	0	1	0
EC_0012_3S1_D_44	0	1	0.08313923	0.94786274	0	1	0.585	0.415	0.240506537889228	0.759493462110772	18417	0.8463755535571662	0.4616387033718847	0.0	0.0	0.0	0.0	0	0	-3.163772294448014	18.0657299977968	0	0	1	0
EC_0012_3S1_D_45	0	1	0.75318635	0.37114277	0	1	0.282	0.718	0.0786232918757928	0.921376708124207	18009	0.8152893469210116	0.4446665556110833	0.0	0.0	0.0	0.0	0	0	0.0318575746374314	-18.626533970001475	0	0	1	0
EC_0012_3S1_D_46	0	1	0.39940235	0.7397586	0	1	0.241	0.759	0.200881553294442	0.799118446705558	17491	0.9144098137759002	0.4869933108455777	0.0	0.0	0.0	0.0	0	0	-2.636764839050664	1.545874009436214	0	0	1	0
EC_0012_3S1_D_47	0	1	0.028910413	0.9835261	0	1	0.007	0.993	0.0118255385117692	0.988174461488231	16648	1.056061813239304	0.5252282556463239	0.0	0.0	0.0	0.0	0	0	0.4925214653079877	-33.58480985623482	0	0	1	0
EC_0012_3S1_D_48	0	1	0.7386562	0.38414323	0	1	0.269	0.731	0.409823045773315	0.590176954226685	16284	0.7695963756859437	0.425939572586588	0.0	0.0	0.0	0.0	0	0	-0.0941529219659953	-16.42526411316693	0	0	1	0
EC_0012_3S1_D_49	1	0	0.07773	0.9528877	1	0	0.997	0.003	0.691784972030409	0.308215027969591	15520	0.5991231289337763	0.5069587628865979	0.0	0.0	0.0	0.0	0	0	-1.1303450254306036	-0.8175536558744625	0	0	0	1
EC_0012_3S1_D_50	0	1	0.046653803	0.9734552	0	1	0.015	0.985	0.0017647468277972	0.998235253172203	14743	0.991164662370194	0.5106830360170929	0.0	0.0	0.0	0.0	0	0	0.3080295558054411	-25.892538941698305	0	0	1	0
EC_0012_3S1_D_51	0	1	0.06595455	0.96055156	0	1	0.006	0.994	0.0550456436360993	0.944954356363901	14575	0.953407824498288	0.4878902229845626	0.0	0.0	0.0	0.0	0	0	0.3505826517068744	-33.28248099593375	0	0	1	0
EC_0012_3S1_D_52	1	0	0.09360012	0.94369817	0	1	0.677	0.323	0.395981999018308	0.604018000981692	14429	0.5953384511404227	0.5150738096888211	0.0	0.0	0.0	0.0	0	0	-1.9676655736864528	10.970799032042365	0	0	0	1
EC_0012_3S1_D_53	0	1	0.73148924	0.3947705	0	1	0.618	0.382	0.0598393924101871	0.940160607589813	14055	0.7988224441726162	0.4328708644610459	0.0	0.0	0.0	0.0	0	0	-0.8324603003809861	-1.5054667275128883	0	0	1	0
EC_0012_3S1_D_54	0	1	0.120939784	0.92365766	0	1	0.027	0.973	0.0126953885971656	0.987304611402834	12609	0.9150861630393512	0.4892537076691252	0.0	0.0	0.0	0.0	0	0	0.1407603052666468	-13.320785484548225	0	0	1	0
EC_0012_3S1_D_55	0	1	0.80182135	0.3362434	0	1	0.145	0.855	0.0212042458643971	0.978795754135603	11882	2.0921713232068035	0.5385456993772092	0.0	0.0	0.0	0.0	0	0	0.0741385247500652	-10.93175130201483	0	0	1	0
EC_0012_3S1_D_56	0	1	0.06601994	0.9614496	0	1	0.05	0.95	0.0412764802612525	0.958723519738747	11499	0.9689998335823128	0.4928254630837464	0.0	0.0	0.0	0.0	0	0	-2.941782877525002	-5.529784957558223	0	0	1	0
EC_0012_3S1_D_57	0	1	0.0784313	0.95166856	0	1	0.039	0.961	0.0044172118226139	0.995582788177386	10571	0.8647628997566241	0.4676000378393719	0.0	0.0	0.0	0.0	0	0	0.212616148621147	-16.78399057186752	0	0	1	0
EC_0012_3S1_D_58	1	0	0.14896329	0.90801275	1	0	0.924	0.076	0.969776714765271	0.0302232852347294	9802	0.4669508119660819	0.4236890430524382	0.0	0.0	0.0	1.0	0	1	-1.8840215969596812	11.12916746989573	0	0	0	1
EC_0012_3S1_D_59	0	1	0.058556467	0.9669398	0	1	0.211	0.789	0.0467918626315936	0.953208137368406	8986	1.002848532089776	0.5109058535499666	0.0	0.0	0.0	0.0	0	0	-4.274612698895032	19.423687370843304	0	0	1	0
EC_0012_3S1_D_60	0	1	0.04812038	0.975646	0	1	0.108	0.892	0.210755216247248	0.789244783752752	7487	1.165975763755023	0.563777213837318	0.0	0.0	0.0	0.0	0	0	0.0808265118131288	-6.208058697843757	0	0	1	0
EC_0012_3S1_D_61	1	0	0.9998655	0.004694647	1	0	0.995	0.005	0.905890712960684	0.0941092870393158	6647	4.378821840475493	0.4850308409808936	0.0	1.0	1.0	1.0	0	1	-4.966392594429181	16.94366923283838	0	0	0	1
EC_0012_3S1_D_62	0	1	0.5417646	0.6407052	0	1	0.498	0.502	0.155378499900117	0.844621500099883	6610	0.8497213238497696	0.4549167927382753	0.0	0.0	0.0	0.0	0	0	-0.4443094973085939	1.7889009517083183	0	0	1	0
EC_0012_3S1_D_63	1	0	0.31762895	0.79444814	1	0	0.66	0.34	0.0440152018435505	0.95598479815645	6517	0.5560922058479385	0.4690808654288783	0.0	0.0	0.0	0.0	0	0	-1.3973370051842124	5.067938992296851	0	0	0	1
EC_0012_3S1_D_64	0	1	0.70792264	0.42264077	0	1	0.225	0.775	0.0817013460218897	0.91829865397811	6445	0.8276728884866823	0.4232738557020946	0.0	0.0	0.0	0.0	0	0	0.0004990775396516	-0.9369910352571492	0	0	1	0
EC_0012_3S1_D_65	1	0	0.20844628	0.8727609	1	0	0.876	0.124	0.764969880309025	0.235030119690975	6095	0.43124460749932	0.3958982772764561	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	0	1
EC_0012_3S1_D_66	1	0	0.33720043	0.77769506	1	0	0.862	0.138	0.877096858176119	0.122903141823881	5873	0.4966022514839712	0.4444066065043419	0.0	0.0	0.0	0.0	0	0	-2.1616703352595144	9.445335220109238	0	0	0	1
EC_0012_3S1_D_67	0	1	0.33030322	0.81148255	0	1	0.592	0.408	0.623289221082022	0.376710778917978	5509	0.8759838218454736	0.4510800508259212	0.0	0.0	0.0	0.0	0	0	-2.7941340733573448	14.229641590608209	0	0	1	0
EC_0012_3S1_D_68	0	1	0.9998375	0.0048371586	0	1	0.229	0.771	0.50269810909529	0.49730189090471	5386	4.121017647821774	0.4470850352766432	0.0	0.0	0.0	0.0	0	0	0.029847791047775	-1.7166766631025183	0	0	0	1
EC_0012_3S1_D_69	0	1	0.058967255	0.9681132	0	1	0.194	0.806	0.0017399303803206	0.998260069619679	4913	1.008811658334681	0.5117036433950743	0.0	0.0	0.0	0.0	0	0	-2.069478943372093	8.484152288297974	0	0	1	0
EC_0012_3S1_D_70	0	1	0.093698286	0.9480848	0	1	0.093	0.907	0.0196687023048587	0.980331297695141	4213	0.940060719352526	0.4709233325421315	0.0	0.0	0.0	0.0	0	0	0.1369916466908742	-11.171189813003352	0	0	1	0
EC_0012_3S1_D_71	0	1	0.09661136	0.9491834	0	1	0.147	0.853	0.0060730346281288	0.993926965371871	4008	1.1201331816713944	0.562375249500998	0.0	0.0	0.0	0.0	0	0	-0.0048445889833743	-3.307948141783978	0	0	1	0
EC_0012_3S1_D_72	1	0	0.25725487	0.841596	0	1	0.492	0.508	0.017848718688363	0.982151281311637	3871	0.7604576114840974	0.4060966158615345	0.0	0.0	0.0	0.0	0	0	-0.0274065077496761	0.5474491214207502	0	0	1	0
EC_0012_3S1_D_73	0	1	0.070254155	0.96223944	0	1	0.471	0.529	0.0115723746534337	0.988427625346566	3843	1.0032885826777995	0.512360135310955	0.0	0.0	0.0	0.0	0	0	-4.260246377078796	21.141978445671636	0	1	1	0
EC_0012_3S1_D_74	0	1	0.12515286	0.92291474	0	1	0.271	0.729	0.0063467114601758	0.993653288539824	3746	0.8373383761646719	0.4652963160704751	0.0	0.0	0.0	0.0	0	0	-0.8665090235098729	4.379834609621134	0	0	1	0
EC_0012_3S1_D_75	0	1	0.6769562	0.464891	0	1	0.258	0.742	0.159057210850078	0.840942789149922	3444	0.713375788022484	0.4044715447154471	0.0	0.0	0.0	0.0	0	0	0.0240914014757978	-1.5140148678016765	0	0	1	0
EC_0012_3S1_D_76	1	0	0.06612206	0.99608207	0	1	0.019	0.981	0.0414948416828023	0.958505158317198	3031	7.203875152270905	0.5255691191026064	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	1	0
EC_0012_3S1_D_77	0	1	0.66669965	0.49623388	0	1	0.199	0.801	0.0024466041859038	0.997553395814096	3006	0.9638444692497314	0.5076513639387891	0.0	0.0	0.0	0.0	0	0	0.0278072832678777	-2.322387720290134	0	0	1	0
EC_0012_3S1_D_78	0	1	0.064983614	0.96842206	0	1	0.129	0.871	0.0741536658424311	0.925846334157569	2977	1.1539561739189068	0.5502183406113537	0.0	0.0	0.0	0.0	0	0	0.1252269591917159	-7.611740214751958	0	0	1	0
EC_0012_3S1_D_79	0	1	0.16259004	0.9009604	0	1	0.313	0.687	0.0054652226139898	0.99453477738601	2832	0.8542183269312258	0.4427966101694915	0.0	0.0	0.0	0.0	0	0	-0.6047172089104622	2.0439833998701635	0	0	1	0
EC_0012_3S1_D_80	1	0	0.1553975	0.90480554	1	0	0.692	0.308	0.966031282762219	0.0339687172377813	2735	0.5512858089544782	0.4595978062157221	0.0	0.0	0.0	0.0	0	0	-1.828853516430136	9.675978756150876	0	0	0	1
EC_0012_3S1_D_81	0	1	0.5826147	0.6001401	0	1	0.224	0.776	0.0079296813813272	0.992070318618673	2690	0.7283849855071521	0.4066914498141264	0.0	0.0	0.0	0.0	0	0	-0.2915882190530112	2.319667515727845	0	0	1	0
EC_0012_3S1_D_82	0	1	0.66417015	0.48008078	0	1	0.288	0.712	0.179438236911947	0.820561763088053	2682	0.6811700507543276	0.3691275167785235	0.0	0.0	0.0	0.0	0	0	0.0240914014757978	-1.5140148678016765	0	0	1	0
EC_0012_3S1_D_83	0	1	0.12521377	0.9235163	0	1	0.356	0.644	0.0007664042733476	0.999233595726652	2650	0.891543452507312	0.4660377358490566	0.0	0.0	0.0	0.0	0	0	0.0265368513525841	-1.967569765630607	0	0	1	0
EC_0012_3S1_D_84	1	0	0.7764825	0.74789184	0	1	0.499	0.501	0.0994436248739077	0.900556375126092	2639	2.687660873650763	0.526335733232285	0.0	0.0	0.0	0.0	0	0	-0.6963042921875227	5.296126435262509	0	0	1	1
EC_0012_3S1_D_85	0	1	0.13793327	0.9256632	0	1	0.148	0.852	0.0195270877853627	0.980472912214637	2495	1.058558846343694	0.5382765531062125	0.0	0.0	0.0	0.0	0	0	0.054673346315333	-4.354658760327654	0	0	1	0
EC_0012_3S1_D_86	1	0	0.2049439	0.9571105	0	1	0.707	0.293	0.115570049902128	0.884429950097872	2454	2.392412834539608	0.5709046454767727	0.0	0.0	0.0	0.0	0	0	-3.425659949885234	16.166501630964753	0	0	1	0
EC_0012_3S1_D_87	0	1	0.7836137	0.42757812	0	1	0.102	0.898	0.0146481392309721	0.985351860769028	2441	2.512943309930028	0.6218762802130274	0.0	0.0	0.0	0.0	0	0	0.2335240359995625	-16.87869629868002	0	0	1	0
EC_0012_3S1_D_88	0	1	0.9999598	0.0055678776	0	1	0.596	0.404	0.204010975155661	0.795989024844339	2337	32.1252684895661	0.4167736414206247	0.0	0.0	0.0	1.0	0	1	0.0	0.0	0	0	0	1
EC_0012_3S1_D_89	0	1	0.99994296	0.0054269135	0	1	0.666	0.334	0.88519819192291	0.11480180807709	2328	13.946493749322933	0.4183848797250859	0.0	0.0	0.0	0.89	0	1	0.0	0.0	0	0	0	1
EC_0012_3S1_D_90	0	1	0.092438154	0.9487449	0	1	0.147	0.853	0.0008490826270771	0.999150917372923	2305	0.8469763531688488	0.4780911062906725	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	1	0
EC_0012_3S1_D_91	0	1	0.9999962	0.00047930487	1	0	0.67	0.33	0.213590583262558	0.786409416737442	2281	18.89322636210269	0.4072775098640947	0.0	0.0	0.0	1.0	0	1	0.0	0.0	0	0	0	1
EC_0012_3S1_D_92	0	1	0.7033714	0.4474696	0	1	0.352	0.648	0.113161466789274	0.886838533210726	2082	0.6022098718488877	0.3611911623439001	0.0	0.0	0.0	0.0	0	0	0.0130499176287912	-0.4932898351910477	0	0	1	0
EC_0012_3S1_D_93	0	1	0.99984384	0.016666023	1	0	0.705	0.295	0.173576306663321	0.826423693336679	1975	13.228708048633306	0.5620253164556962	0.0	0.0	1.0	1.0	0	1	-0.8651018392551872	2.9714568433685558	0	0	0	1
EC_0012_3S1_D_94	1	0	0.19197842	0.8845111	1	0	0.506	0.494	0.907029551459278	0.0929704485407218	1932	0.4072450014542048	0.3990683229813664	0.0	0.0	0.0	0.0	0	0	0.0244376903478622	-1.566972740816723	0	0	0	1
EC_0012_3S1_D_95	0	1	0.040244933	0.983737	0	1	0.126	0.874	0.0375062831409896	0.96249371685901	1811	1.1154690227465724	0.5433462175593595	0.0	0.0	0.0	0.0	0	0	-1.8112432588686929	7.93890214267483	0	0	1	0
EC_0012_3S1_D_96	0	1	0.6746235	0.5070937	0	1	0.452	0.548	0.643664192392608	0.356335807607392	1728	0.8765198646127833	0.4456018518518518	0.0	0.0	0.0	0.0	0	0	-1.204938107974323	5.444076200566951	0	0	1	0
EC_0012_3S1_D_97	0	1	0.09464767	0.9823506	0	1	0.105	0.895	0.0041618559858228	0.995838144014177	1723	2.097157600223522	0.5351131746952988	0.0	0.0	0.0	0.0	0	0	-0.0345287604919377	0.5058024449404641	0	0	1	0
EC_0012_3S1_D_98	0	1	0.7140491	0.44226348	0	1	0.305	0.695	0.0975364624357004	0.9024635375643	1695	0.7542337592193621	0.4194690265486726	0.0	0.0	0.0	0.0	0	0	0.0526565819958992	-2.889750526642514	0	0	1	0
EC_0012_3S1_D_99	0	1	0.61440134	0.5437933	0	1	0.247	0.753	0.024949390137682	0.975050609862318	1633	0.7605871251728433	0.4145744029393753	0.0	0.0	0.0	0.0	0	0	-0.512695972729686	1.9901624864592276	0	0	1	0
EC_0012_3S1_D_100	0	1	0.0128708	0.9988432	0	1	0.176	0.824	0.0010419276796994	0.998958072320301	1559	1.9731302552369607	0.5131494547787043	0.0	0.0	0.0	0.0	0	0	-0.0259649924070863	0.5987588514222946	0	0	1	0
EC_0012_3S1_D_101	1	0	0.98321545	0.05641721	1	0	0.973	0.027	0.998767027606072	0.0012329723939278	1552	2.1836187802688305	0.5186855670103093	0.0	0.0	1.0	1.0	0	1	-0.0990050902907881	1.3900818056977151	0	0	0	1
EC_0012_3S1_D_102	0	1	0.07601834	0.96733916	0	1	0.202	0.798	0.296034281013912	0.703965718986088	1520	1.1692963508303702	0.5796052631578947	0.0	0.0	0.0	0.0	0	0	0.0660518446789684	-4.688053588102568	0	0	1	0
EC_0012_3S1_D_103	1	0	0.9855389	0.05448076	1	0	0.749	0.251	0.446618849621582	0.553381150378418	1506	2.288014008602987	0.50199203187251	0.0	0.0	0.99	0.98	0	1	-0.009506432461567	0.2643958665063763	0	0	0	1
EC_0012_3S1_D_104	0	1	0.073518954	0.99588746	0	1	0.054	0.946	0.0052834394464766	0.994716560553523	1403	7.550324269666287	0.5473984319315752	0.0	0.0	0.0	0.0	0	0	0.0	0.0	0	0	1	0
EC_0012_3S1_D_105	0	1	0.20166253	0.88594496	0	1	0.23	0.77	0.188714625210009	0.811285374789991	1384	0.8425692901490218	0.4949421965317919	0.0	0.0	0.0	0.0	0	0	-0.0002784289414901	0.0088655197117049	0	0	1	0
EC_0012_3S1_D_106	0	1	0.15617411	0.91507167	0	1	0.176	0.824	0.560071052199369	0.439928947800631	1321	0.9287426619971172	0.457229371688115	0.0	0.0	0.0	0.0	0	0	0.0117169253070006	-0.4732030766244026	0	0	1	0
EC_0012_3S1_D_107	0	1	0.58377784	0.58865994	0	1	0.258	0.742	0.0134131740601859	0.986586825939814	1238	0.7850688099482906	0.4063004846526656	0.0	0.0	0.0	0.0	0	0	0.0250475583791907	-1.667706820557985	0	0	1	0
EC_0012_3S1_D_108	0	1	0.53423387	0.8098651	0	1	0.234	0.766	0.0096676655318738	0.990332334468126	1140	1.5364928416423589	0.4447368421052631	0.0	0.0	0.0	0.0	0	0	-0.0332798426684863	0.7163809902494354	0	0	1	0
EC_0012_3S1_D_109	0	1	0.33818743	0.82465136	0	1	0.1	0.9	0.025189239946892	0.974810760053108	1140	1.0575417076320202	0.5526315789473685	0.0	0.0	0.0	0.0	0	0	0.0061119923169599	-0.3010837963700759	0	0	1	0
